title
🕵️‍♂️ I SPY 6/1 Recap and 6/2 Outlook 🔭🎯
Pump Tesla Until Dec 21
More SPY TA
"Either ""Smart"" Money is Wrong, or The Market Will Correct"
So I decided to buy overnight SPY puts this morning...
Theory on why the market is acting the way it is
Do y’all think the market will crash tomorrow?
“Sell In May and Go Away”
CORONA VIRUS VACCINE FOUND
Cattle Futures - buy the dip?
SPY going down even though VIX isn’t up as much?
Universe Pharmaceuticals ($UPC) will pop again. Best action is start a position now.
Calling it quits
"Does anybody have new, bold picks for 2021 or beyond that have not already been memed?"
[UPDATE] Going From Trading 2k On RobinHood To Trading 200k On My Dad's 200k Account
My shitty S&amp;P500 ETF Brief Technical Analysis
Sentiment trackers are better predictors than crayon drawings?
GME - Bullish Pennant - This will go much higher before it goes lower! - UPDATE
GME is the inverse of the SPY
Once upon a time in 2020
I miss the old WSB
Volatility is Coming Back: How Election News is Overshadowing Potential Market Turmoil
robinhood is trash
Will Biden’s executive order mean a red week for S&amp;P?
"TWNK: The bear thesis sucks Ding Dongs, and shorts are scared of taking it up the brownie in Q3 earnings."
When is it best to sell a call? Sorry for dumb beginner question
Learn the futures market...
$SPY Pre-Market Thots 7/22
"🕵️‍♂️ I SPY TA - Monday Nov. 29, 2021"
"How is it possible that on average, the SPY outperforms individual investors in the long run?"
"preparing for this week on the ""spy"""
Interactive Brokers margin with puts
If SPY opens above 286
How fucked am I?
SPY and DOW will be red tomorrow
Turned Tragedy to Triumph
Finally made it to all green on Robinhood.
Options on SPY?
"🕵️‍♂️ I SPY TA - Tuesday Nov. 23, 2021"
SPY officially over $340 in After-Hours trading
I’ve been a lurker and occasional binge contributor here for a long time.
So you think you could beat the market? A stupid-simple review of the past 18 months
SPY
Guaranteed millionaire
"All in SPY calls, off to the moon boys."
July Unemployment Rate
Tesla king of Wall Street Bets
$SPY Forecast 12/14
NEW Market Indicator for SPY
Paper Hand Syndrome
Turned gay for a day
🕵️‍♂️ I SPY 6/1 Read 🔭🎯
We’re NOT in a Bubble
SPY Index Puts?
"The Election, SPY, and Your Retarded Positions"
"Game Plan for March 11, 2021"
Did anyone buy spy leaps in march? Are you a millionaire now?
DD: Macro Economic Outlook For This Week And Beyond
SPY 350c 8/31
Top 7 Trading Tips and Tricks
SPY Thots - 7/19/2021
I just created a Roth IRA through Fidelity. What do I invest in?
For the bears who say increasing number of Coronavirus cases will lead to tendies
I bought 35k in SPY puts based on this research.
Technical Analysis on Smoothed Moving Average (SMMA) indicator in the context of SPY day trading
"🕵️‍♂️ I SPY TA - Wednesday Nov. 17, 2021"
Dips I'm Eyeing for Tomorrow 9/10/21
Quit my job at a hedge fund to join you idiots
I just bought my first option
16 year HODL - 970% gain on Lowe's Home Improvement
Predictions on tomorrows $PLTR : Let the Games Begin…
WE CAN Predict the next crash
Inverted butterfly
"SPY Recap, NIO, AMD, and TSLA TA or a WSB's Wet Dream"
Are futures manipulated? Price movements and volume during trading hours and not
Is it time to bail on tech stocks?
Normie Playbook: Analyzing a Failed Play
Puts on $SPY this week?
We’ve all been duped. Covid cases and the spy are positively correlated.
Spy to 126 in August
Autistic Marionettes
Net outflow from NASDAQ?
Catalyst swing trading
Martin Shkreli endorses Yeezy for President.
NightMan No More!!!!!!!!!! THE SPY PROPHECY: WEEK of 12/07
Another Bear Calling The Market Top
MY Journal for predicting stocks via pendulum + things alike
"🕵️‍♂️ I SPY TA - Thursday Dec. 2, 2021"
Get your spy puts and vxx calls ready. I went long
$SNDL
Monday: Bullish vs Bearish
SPY Calls
I don’t get SPY expirations.
Option strangle/straddle spy
Thoughts on Spy Calls
What am I missing?
What ever happened to the guy who bought 4 mill in spy put leaps?
Connecting the dots: HYLN...Cramer...Citadel
Why not hedged with leveraged inverses?
VXX $30 calls 11/20/20 &amp; 1/15/21
