date,Total_Comments,Total_Awards,Total_Score,Title_Sentiment,Text_Sentiment
2022-02-01,113,0,100,0.160356,0.122332
2022-02-02,60,0,101,0.155666,0.104957
2022-02-03,56,0,102,0.0744040404040404,0.0643151515151515
2022-02-04,50,0,98,0.15733673469387754,0.01121938775510204
2022-02-05,68,1,121,0.145851,0.063165
2022-02-06,61,0,100,0.10393333333333334,0.09461717171717172
2022-02-07,401,1,146,0.07742600000000001,0.105877
2022-02-08,61,0,100,0.136676,0.0146
2022-02-09,85,0,101,0.16926100000000002,-0.0005059999999999986
2022-02-10,318,0,101,0.17837,0.026276
2022-02-11,583,0,102,0.14859797979797978,0.04117777777777778
2022-02-12,570,0,104,0.082123,0.074153
2022-02-13,3748,0,101,0.048411,0.046986
2022-02-14,1049,0,99,0.1653191919191919,0.042398989898989894
2022-02-15,492,0,100,0.088994,0.067801
2022-02-16,19361,0,101,0.19425599999999998,0.045872
2022-02-17,15742,0,101,0.12413199999999999,0.016057000000000002
2022-02-18,4378,0,102,0.12226100000000001,0.048184000000000005
2022-02-19,692,0,102,0.06573030303030303,0.07017878787878788
2022-02-20,3970,0,102,0.079015,0.047810000000000005
2022-02-21,3384,0,100,-0.018288999999999996,0.025412
2022-02-22,328,0,101,0.15307272727272728,-0.00584040404040404
2022-02-23,26918,0,102,0.084929,0.012938
2022-02-24,760,0,102,0.134577,-0.044493
2022-02-25,229,0,100,0.12904,0.007228000000000002
2022-02-26,790,0,101,0.17517171717171717,0.027248484848484848
2022-02-27,3064,0,100,-0.025621,0.019860000000000003
2022-02-28,12160,0,101,0.017863000000000004,0.010375
2022-03-01,284,0,103,0.173115,-0.005298000000000001
2022-03-02,347,0,100,0.143614,0.0032530000000000016
2022-03-03,208,0,100,0.10653800000000001,0.051071
2022-03-04,819,0,102,0.11981,0.019185999999999998
2022-03-05,664,0,102,0.159641,0.050764
2022-03-06,815,0,101,0.17271999999999998,0.06114100000000001
2022-03-07,65,0,103,0.107642,0.043707
2022-03-08,55,0,100,0.042509,0.054618
2022-03-09,61,0,101,0.121463,0.019805
2022-03-10,60,0,99,0.0967020202020202,0.008225252525252526
2022-03-11,51,0,106,0.08634,0.06727
2022-03-12,45,0,102,0.032936,-0.0035870000000000025
2022-03-13,50,0,101,0.102744,0.000987
2022-03-14,59,0,101,0.07972,0.006687000000000001
2022-03-15,63,0,101,0.111415,0.057409
2022-03-16,50,0,101,0.122121,0.108598
2022-03-17,57,0,101,0.25203,0.06965099999999999
2022-03-18,58,0,100,0.100218,0.006939
2022-03-19,30,0,99,0.10454141414141414,0.07703838383838384
2022-03-20,45,0,100,0.140464,0.108755
2022-03-21,60,0,100,0.17369600000000002,0.012986
2022-03-22,49,0,103,0.207577,0.076092
2022-03-23,42,0,102,0.230607,0.08920600000000001
2022-03-24,47,0,118,0.160929,0.10243000000000001
2022-03-25,35,0,101,0.12117499999999999,0.100726
2022-03-26,49,0,103,0.189966,0.075259
